type	date	item	value
Moonchain Daily Report	09-October-2024	Active accounts	402
Moonchain Daily Report	09-October-2024	Average transaction fee	4.857835936393791 MXC
Moonchain Daily Report	09-October-2024	Number of new transactions	1930
Moonchain Daily Report	09-October-2024	Number of new blocks	930
Moonchain Daily Report	09-October-2024	Average size of blocks	1189 bytes
Moonchain Daily Report	09-October-2024	Average amount of reward	0.14375532674400945 MXC
Moonchain Daily Report	09-October-2024	Cumulative gas used	282879003532
Moonchain Daily Report	09-October-2024	Average gas price	34543.61694200053 Gwei
Moonchain Daily Report	09-October-2024	Number of new contracts	8
Moonchain Daily Report	08-October-2024	Active accounts	441
Moonchain Daily Report	08-October-2024	Average transaction fee	4.280160496829685 MXC
Moonchain Daily Report	08-October-2024	Number of new transactions	2258
Moonchain Daily Report	08-October-2024	Number of new blocks	1056
Moonchain Daily Report	08-October-2024	Average size of blocks	1374 bytes
Moonchain Daily Report	08-October-2024	Average amount of reward	0.13079718626745232 MXC
Moonchain Daily Report	08-October-2024	Cumulative gas used	282726651334
Moonchain Daily Report	08-October-2024	Average gas price	35329.42929798389 Gwei
Moonchain Daily Report	08-October-2024	Number of new contracts	7
